Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	sound.id	marker	old.selec
144.534589551882	146.554725606304	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	24.0578548580046	47	Spectrogram 1	1	0	6220.8	JG13_Lp016.WAV_1	end_marker	8
147.554725606304	149.514838984989	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	27.0779909124264	48	Spectrogram 1	1	0	5296.9	JG13_Lp016.WAV_2	end_marker	9
150.514838984989	152.536426286576	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	30.0381042911112	49	Spectrogram 1	1	0	4065.1	JG13_Lp016.WAV_3	end_marker	10
153.536426286576	155.562616762766	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	33.0596915926985	50	Spectrogram 1	1	0	4143.7	JG13_Lp018.WAV_1	end_marker	11
156.562616762766	158.355020390884	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	36.0858820688889	51	Spectrogram 1	1	0	4389.6	JG13_Lp018.WAV_2	end_marker	12
159.355020390884	160.134317443038	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	38.8782856970068	52	Spectrogram 1	1	0	4530	JG13_Lp018.WAV_3	end_marker	13
161.134317443038	163.238444427166	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	40.657582749161	53	Spectrogram 1	1	0	4530	JG13_Lp018.WAV_4	end_marker	14
164.238444427166	165.896811774104	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	43.761709733288	54	Spectrogram 1	1	0	4769	JG13_Lp020.WAV_1	end_marker	15
166.896811774104	168.617174585896	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	46.4200770802268	55	Spectrogram 1	1	0	4307.4	JG13_Lp020.WAV_2	end_marker	16
169.617174585896	171.227492046213	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	49.1404398920182	56	Spectrogram 1	1	205.1	4358.7	JG13_Lp024.WAV_1	end_marker	17
172.227492046213	173.952072545079	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	51.7507573523357	57	Spectrogram 1	1	0	4461.3	JG13_Lp024.WAV_2	end_marker	18
174.952072545079	176.79699318	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	54.4753378512019	58	Spectrogram 1	1	205.1	4769	JG13_Lp024.WAV_3	end_marker	19
177.79699318	179.579759619909	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	57.3202584861225	59	Spectrogram 1	1	205.1	4769	JG13_Lp024.WAV_4	end_marker	20
180.579759619909	182.431301570023	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	60.1030249260318	60	Spectrogram 1	1	0	4204.9	JG13_Lp031.WAV_1	end_marker	21
183.431301570023	185.445247148254	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	62.9545668761452	61	Spectrogram 1	1	0	4204.9	JG13_Lp031.WAV_2	end_marker	22
186.445247148254	188.754997715147	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	65.9685124543765	62	Spectrogram 1	1	141.1	4091.9	JG13_Lp035.WAV_1	end_marker	23
189.754997715147	192.185927420363	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	69.2782630212699	63	Spectrogram 1	1	176.4	4338.9	JG13_Lp035.WAV_2	end_marker	24
193.185927420363	194.929442159592	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	72.7091927264853	64	Spectrogram 1	1	0	4374.1	JG13_Lp036.WAV_1	end_marker	25
195.929442159592	197.964045334195	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	75.4527074657143	65	Spectrogram 1	1	211.7	4197.8	JG13_Lp044.WAV_1	end_marker	26
198.964045334195	201.159283429433	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	78.4873106403175	66	Spectrogram 1	1	176.4	4303.6	JG13_Lp044.WAV_2	end_marker	27
202.159283429433	204.206199529206	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	81.6825487355556	67	Spectrogram 1	1	211.7	6914	JG13_Lp045.WAV_1	end_marker	28
205.206199529206	207.282344653923	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	84.7294648353289	68	Spectrogram 1	1	149.7	6984.2	JG13_Lp045.WAV_2	end_marker	29
208.282344653923	210.432571411293	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	87.8056099600454	69	Spectrogram 1	1	246.9	5185.5	JG13_Lp046.WAV_1	end_marker	30
211.432571411293	213.38087073102	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	90.955836717415	70	Spectrogram 1	1	211.7	4621.1	JG13_Lp046.WAV_2	end_marker	31
214.38087073102	216.325632635782	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	93.9041360371429	71	Spectrogram 1	1	246.9	4903.3	JG13_Lp046.WAV_3	end_marker	32
