"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","sex","distance","site","transect","reference","blur.ratio","spectrum.blur.ratio","excess.attenuation","envelope.correlation","spectrum.correlation","signal.to.noise.ratio","tail.to.noise.ratio","tail.to.signal.ratio","cross.correlation"
"PB_Lpa_0004_T1_Ashton_F_2m.wav_44",1,0.1,0.162834467120204,0.8481,9.4785,"JG13_Lp042.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_44-1",0.0471031659046877,0.203392979946038,5.50086197726969,0.992063133708658,0.929765265206898,8.47181034789098,-0.55931228648218,-10.389994072693,0.71173443445762
"PB_Lpa_0004_T1_Ashton_F_2m.wav_45",1,0.1,0.162834467120197,0.7483,6.7347,"JG13_Lp042.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_45-1",0.0749791429845678,0.160926685254684,5.41911848410517,0.977647937947107,0.929561256931012,10.9674918381403,-1.25158035456466,-13.8784773235801,0.74691601825431
"PB_Lpa_0006_T1_Ashton_F_4m.wav_2",1,0.1,0.17328798185941,0.4958,4.5177,"JG13_Lp007.WAV_1","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_2-1",0.0849389804045771,0.169554316611033,7.89954746423485,0.953517266298793,0.923883409024927,12.8949707582714,2.89713078724286,-11.9039722794666,0.687728483722727
"PB_Lpa_0006_T1_Ashton_F_4m.wav_3",1,0.1,0.17600907029478,0.7438,4.8208,"JG13_Lp007.WAV_2","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_3-1",0.110868258436972,0.235823556826836,8.27461487111004,0.943520586453186,0.584682457830668,14.2522792179355,1.16815023313003,-15.3385085825455,0.57798793809193
"PB_Lpa_0006_T1_Ashton_F_4m.wav_4",1,0.1,0.18414965986394,0.7162,4.5728,"JG13_Lp007.WAV_3","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_4-1",0.0817392793152846,0.157856210668762,7.26324626156835,0.958695412871855,0.811052327175177,7.91065522114102,-0.455642342670372,-9.43762759727417,0.609668143536031
"PB_Lpa_0006_T1_Ashton_F_4m.wav_5",1,0.1,0.16514739229025,0.7438,6.0053,"JG13_Lp007.WAV_4","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_5-1",0.1571992241508,0.391361428404095,7.19423359221365,0.871427758531186,0.178256255902768,8.32058179247515,1.83472155008695,-7.78373361117309,0.561532866457046
"PB_Lpa_0006_T1_Ashton_F_4m.wav_6",1,0.1,0.173287981859412,0.7438,4.4075,"JG13_Lp007.WAV_5","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_6-1",0.10762303267794,0.158854071387454,9.01787352640677,0.961624213997024,0.761946719050328,7.46996107526305,5.42708607715662,-3.24809548544295,0.650946604840355
"PB_Lpa_0006_T1_Ashton_F_4m.wav_7",1,0.1,0.16786848072562,0.7438,4.7106,"JG13_Lp007.WAV_6","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_7-1",0.110880021807663,0.241299415015034,8.61446803221062,0.928502601656348,0.760793675126928,10.3405127213283,-0.349150068159473,-12.1846654757451,0.617659544953655
"PB_Lpa_0006_T1_Ashton_F_4m.wav_8",1,0.1,0.173287981859421,0.6611,4.7657,"JG13_Lp007.WAV_7","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_8-1",0.074187936360129,0.215236154430547,7.35688670332944,0.956494242230315,0.71146147113139,14.9716318986875,1.61981374913663,-15.6980829920398,0.649039636796887
"PB_Lpa_0006_T1_Ashton_F_4m.wav_9",1,0.1,0.1597278911565,0.7713,4.7932,"JG13_Lp007.WAV_8","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_9-1",0.0864552263214714,0.2159666537974,7.27282180303684,0.950234621365806,0.783349909845128,14.8366737597242,2.9650969106687,-14.3026915414819,0.679159305752848
"PB_Lpa_0006_T1_Ashton_F_4m.wav_10",1,0.1,0.1732879818594,0.7162,4.7381,"JG13_Lp007.WAV_9","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_10-1",0.0874164847037937,0.151774971186704,7.30515236321481,0.94663691268752,0.913709158411149,17.3060610862661,3.5199964165644,-16.5388654510679,0.680492583075679
"PB_Lpa_0006_T1_Ashton_F_4m.wav_11",1,0.1,0.162426303854901,0.6336,4.6279,"JG13_Lp007.WAV_10","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_11-1",0.0671484976080686,0.188343087918154,7.40729257930896,0.949848185369664,0.901488691980131,8.49479714438681,-3.15508479666159,-13.0389183917575,0.692269106213244
"PB_Lpa_0006_T1_Ashton_F_4m.wav_12",1,0.1,0.1666213151927,0,7.0344,"JG13_Lp019.WAV_1","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_12-1",0.111699906856568,0.203586767289347,11.7602180063206,0.892815861539133,0.924239450309621,8.57115040714212,0.955778692114878,-8.86108117817316,0.66926442190884
"PB_Lpa_0006_T1_Ashton_F_4m.wav_13",1,0.1,0.1729024943311,0,7.4695,"JG13_Lp019.WAV_2","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_13-1",0.143839698007888,0.262904460576751,11.5086343552229,0.847097743192764,0.858495741185263,9.19427438145485,4.09421985501119,-6.50183230720169,0.605211004934345
"PB_Lpa_0006_T1_Ashton_F_4m.wav_14",1,0.1,0.1678684807256,0,7.9046,"JG13_Lp019.WAV_3","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_14-1",0.131791923996226,0.263895988218106,11.3547426350572,0.889245578716353,0.865456515404956,6.59050180883392,0.0617812414347583,-7.56123384413702,0.572487200732104
"PB_Lpa_0006_T1_Ashton_F_4m.wav_15",1,0.1,0.165374149659899,0,8.8474,"JG13_Lp019.WAV_4","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_15-1",0.110438185896675,0.264148501663694,11.6643252526249,0.87729305851396,0.911593740540028,7.54100326169864,-0.511964435389017,-9.09589167416846,0.609725860046722
"PB_Lpa_0006_T1_Ashton_F_4m.wav_16",1,0.1,0.1603401360544,0,7.9046,"JG13_Lp019.WAV_5","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_16-1",0.109782167886644,0.28932242398111,10.9692517102171,0.858920888769415,0.863588427197006,7.38075357721343,-0.0779283655224021,-8.58657912607209,0.592891936493217
"PB_Lpa_0006_T1_Ashton_F_4m.wav_17",1,0.1,0.156394557823101,0,4.769,"JG13_Lp023.WAV_1","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_17-1",0.0617941121715408,0.276436333920902,6.411127527831,0.954923106558855,0.886032398232678,14.6007200568873,2.37767995441108,-14.3562407174007,0.736311437112088
"PB_Lpa_0006_T1_Ashton_F_4m.wav_18",1,0.1,0.162108843537402,0.5641,4.8202,"JG13_Lp023.WAV_2","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_18-1",0.0587612424818156,0.319586548843929,8.19504245270292,0.979402403253431,0.837184640121128,15.8266887551442,2.44604732640149,-15.7465175952751,0.710951318408927
"PB_Lpa_0006_T1_Ashton_F_4m.wav_19",1,0.1,0.164943310657597,0.5128,3.6408,"JG13_Lp023.WAV_3","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_19-1",0.068850900258788,0.276782192421854,6.25733865728345,0.982589923673239,0.827015238162549,10.1144329764596,-1.07185391493674,-12.4466805069907,0.648169472468673
"PB_Lpa_0006_T1_Ashton_F_4m.wav_20",1,0.1,0.167800453514803,0.5641,4.051,"JG13_Lp023.WAV_4","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_20-1",0.104667699038523,0.342780762395627,9.02145585072379,0.938372464299102,0.931719159208382,10.6875031771121,-2.39621253814943,-14.7792483778143,0.605067908678414
"PB_Lpa_0006_T1_Ashton_F_4m.wav_21",1,0.1,0.1518367346939,0.5037,5.3521,"JG13_Lp027.WAV_1","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_21-1",0.0601942421705351,0.294089371816103,7.16553629642284,0.97253018407052,0.667738276398692,10.8124438798661,-0.16320084849244,-12.6932313164397,0.668572891878277
"PB_Lpa_0006_T1_Ashton_F_4m.wav_22",1,0.1,0.154149659863899,0.6297,5.541,"JG13_Lp027.WAV_2","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_22-1",0.0783144818595724,0.289363086607211,8.12470480548929,0.971701580341817,0.781563336577487,10.8519905060936,0.687846028330152,-11.8857212024535,0.690065567167097
"PB_Lpa_0006_T1_Ashton_F_4m.wav_23",1,0.1,0.153378684807299,0.5667,4.9113,"JG13_Lp027.WAV_3","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_23-1",0.0824946507063889,0.328527693189516,7.11849995466423,0.975379657616436,0.628722989414297,8.66444497348749,2.26689926664516,-7.8411023567873,0.604395558565203
"PB_Lpa_0006_T1_Ashton_F_4m.wav_24",1,0.1,0.154920634920599,0.6297,6.8003,"JG13_Lp027.WAV_4","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_24-1",0.109159629480069,0.381883285651865,9.57372331261287,0.927630461342762,0.577188371673505,3.84482932942528,-2.96582262188418,-7.23375527521337,0.521103306949729
"PB_Lpa_0006_T1_Ashton_F_4m.wav_25",1,0.1,0.153378684807303,0.3778,6.8003,"JG13_Lp027.WAV_5","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_25-1",0.101737530719725,0.352904464025933,9.67625505909656,0.935799102095728,0.686001789775725,4.17308576569697,-0.618471303645685,-5.48741851380037,0.63912701106414
"PB_Lpa_0006_T1_Ashton_F_4m.wav_26",1,0.1,0.151836734693797,0.5667,8.6263,"JG13_Lp027.WAV_6","end_marker","females",4,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_26-1",0.0962274626301004,0.383698164476163,9.3983783507672,0.920723287667264,0.752901133640348,2.55582758043176,-0.469474043439339,-3.44633531943956,0.532688598338094
