"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","sex","distance","site","transect"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",45,49.6639397264282,49.7267741935484,0.7483,6.7347,"JG13_Lp042.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",2,2.8688792150102,2.94216719686961,0.4958,4.5177,"JG13_Lp007.WAV_1","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",3,3.94216719686961,4.01817626716439,0.7438,4.8208,"JG13_Lp007.WAV_2","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",4,5.0181762671644,5.10232592702834,0.7162,4.5728,"JG13_Lp007.WAV_3","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",5,6.10232592702834,6.16747331931859,0.7438,6.0053,"JG13_Lp007.WAV_4","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",6,7.16747331931859,7.240761301178,0.7438,4.4075,"JG13_Lp007.WAV_5","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",7,8.240761301178,8.30862978190362,0.7438,4.7106,"JG13_Lp007.WAV_6","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",8,9.30862978190362,9.38191776376304,0.6611,4.7657,"JG13_Lp007.WAV_7","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",9,10.381917763763,10.4416456549195,0.7713,4.7932,"JG13_Lp007.WAV_8","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",10,11.4416456549195,11.5149336367789,0.7162,4.7381,"JG13_Lp007.WAV_9","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",11,12.5149336367789,12.5773599406338,0.6336,4.6279,"JG13_Lp007.WAV_10","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",12,13.5773599406338,13.6439812558265,0,7.0344,"JG13_Lp019.WAV_1","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",13,14.6439812558265,14.7168837501576,0,7.4695,"JG13_Lp019.WAV_2","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",14,15.7168837501576,15.7847522308832,0,7.9046,"JG13_Lp019.WAV_3","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",15,16.7847522308832,16.8501263805431,0,8.8474,"JG13_Lp019.WAV_4","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",16,17.8501263805431,17.9104665165975,0,7.9046,"JG13_Lp019.WAV_5","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",17,18.9104665165975,18.9668610744206,0,4.769,"JG13_Lp023.WAV_1","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",18,19.9668610744206,20.028969917958,0.5641,4.8202,"JG13_Lp023.WAV_2","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",19,21.028969917958,21.0939132286156,0.5128,3.6408,"JG13_Lp023.WAV_3","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",20,22.0939132286156,22.1617136821304,0.5641,4.051,"JG13_Lp023.WAV_4","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",21,23.1617136821304,23.2135504168243,0.5037,5.3521,"JG13_Lp027.WAV_1","end_marker","females","8m","Ashton","T1"
"PB_Lpa_0010._T1_Ashton_F_8m.wav",22,24.2135504168243,24.2677000766882,0.6297,5.541,"JG13_Lp027.WAV_2","end_marker","females","8m","Ashton","T1"
